sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,MnO,MgO,CaO,Na2O,K2O,P2O5,latitude,longitude,elevation,tectonic,station,expedition,sampling technique,rock type,alteration,reference,method
CON2806-005-004,GL,51.51,1.67,14.75,,,9.96,0.18,7.53,11.26,2.92,0.21,0.19,-1.162,-13.068,-3975,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-005,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-011-001,GL,50.51,1.09,15.73,,,8.29,0.15,9.06,12.04,2.55,0.11,0.08,-1.261,-15.92,-4355,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-011,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-011-003,GL,50.76,1.1,15.5,,,8.39,0.17,9.2,11.96,2.51,0.12,0.08,-1.261,-15.92,-4355,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-011,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-011-004,GL,51.11,1.09,15.61,,,8.44,0.17,9.17,12.02,2.51,0.11,0.38,-1.261,-15.92,-4355,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-011,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-011-006,GL,51.13,1.1,15.7,,,8.53,0.15,9.13,12.03,2.49,0.12,0.08,-1.261,-15.92,-4355,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-011,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-013-002,GL,51.63,1.45,15.15,,,9.6,0.17,8.13,11.18,2.91,0.16,0.13,-1.365,-15.919,-4580,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-013,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-013-003,GL,51.52,1.43,15.18,,,9.4,0.17,8.38,11.22,2.84,0.15,0.13,-1.365,-15.919,-4580,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-013,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-013-004,GL,51.52,1.43,15.34,,,9.45,0.17,8.34,11.2,2.86,0.15,0.12,-1.365,-15.919,-4580,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-013,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
END0061-001-001,GL,51.08,1.21,16.09,,,8.61,0.18,8.58,11.51,2.87,0.11,0.27,-1.407,-13.175,-2600,SPREADING_CENTER;MID-ATLANTIC RIDGE,END0061-001,EN061,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-004-001,GL,48.8,1.85,15.24,,,9.74,0.16,7.46,12.11,2.95,0.88,0.14,-1.409,-13.007,-3950,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-004,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-004-002,GL,48.82,1.83,15.34,,,9.76,0.15,7.53,12.02,2.96,0.88,0.15,-1.409,-13.007,-3950,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-004,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-004-003,GL,48.62,1.84,15.46,,,9.62,0.18,7.4,12.12,3,0.87,0.24,-1.409,-13.007,-3950,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-004,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-012-001,GL,50.76,1.52,15.63,,,9.15,0.17,8.04,11.13,3.13,0.17,0.14,-1.536,-15.888,-4376,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-012,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-012-002,GL,51.47,1.51,15.15,,,9.47,0.17,8.1,10.82,3.04,0.2,0.13,-1.536,-15.888,-4376,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-012,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-012-003,GL,51.13,1.5,15.52,,,9.23,0.17,8.09,10.99,3.12,0.18,0.13,-1.536,-15.888,-4376,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-012,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-012-004,GL,51.55,1.56,15.01,,,9.67,0.18,8.23,10.69,2.97,0.2,0.13,-1.536,-15.888,-4376,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-012,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-012-005,GL,51.72,1.54,15.18,,,9.61,0.18,8.08,10.9,3,0.19,0.13,-1.536,-15.888,-4376,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-012,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-012-006,GL,51.26,1.52,15.53,,,9.31,0.17,8.07,11.19,3.08,0.18,0.13,-1.536,-15.888,-4376,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-012,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-012-007,GL,51.72,1.55,15.13,,,9.55,0.18,8.02,10.85,3.01,0.21,0.13,-1.536,-15.888,-4376,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-012,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
GIL7309-095-VG3630,GL,50.19,1.36,16.74,,,9.1,,7.86,10.92,3.09,0.4,0.18,-1.69,-24.54,-3321,SPREADING_CENTER;MID-ATLANTIC RIDGE,GIL7309-095,GS73-09,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
CON2806-003-001,GL,51.46,1.59,15.24,,,9.5,0.18,7.96,11.18,2.86,0.28,0.24,-1.843,-12.955,-3800,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-003,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-003-002,GL,51.28,1.53,15.38,,,9.34,0.16,7.86,11.18,2.92,0.29,0.15,-1.843,-12.955,-3800,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-003,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
CON2806-003-003,GL,51.41,1.56,15.27,,,9.6,0.17,7.9,11.17,2.9,0.29,0.25,-1.843,-12.955,-3800,SPREADING_CENTER;MID-ATLANTIC RIDGE,CON2806-003,RC2806,dredge,"basalt; basalt; , ",fresh,"Schilling,1995(112)",EMP(315)
ABP0005-052-001,GL,49.6,1.26,16.25,,,9.83,,8.65,11.48,2.55,0.08,0.12,-1.92,-12.63,-2200 to -2500,SPREADING_CENTER;MID-ATLANTIC RIDGE,ABP0005-052,ABP0005,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
ABP0005-052-002,GL,49.6,1.26,16.21,,,9.79,,8.69,11.51,2.61,0.07,0.11,-1.92,-12.63,-2200 to -2500,SPREADING_CENTER;MID-ATLANTIC RIDGE,ABP0005-052,ABP0005,dredge,"basalt; basalt; , ",,"Melson,(1086)",EMP(3262)
