ANALYSES_NUM,REF_ID,DQ_ID,SAMPLE_ID,LATITUDE,LONGITUDE,LAT_LONG_PRECISION,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,PRIMARY_LOCATION,MATERIAL,Pb206_Pb204,stdev_Pb206,Pb207_Pb204,stdev_Pb207,Pb208_Pb204,stdev_Pb208
15565,"MAHONEY,1993(443)",MS(428),MOA8712-082-004,-15.83,-112.95,0.01,-2640,-2640,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.098,,15.439,,37.556
15566,"MAHONEY,1993(443)",MS(428),MOA8712-084-002,-15.52,-112.88,0.01,-2660,-2660,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.108,,15.453,,37.593
15567,"MAHONEY,1993(443)",MS(428),MOA8712-087-003,-15.17,-112.82,0.01,-2630,-2630,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.107,,15.445,,37.571
15568,"MAHONEY,1993(443)",MS(428),MOA8712-009-005,-22.48,-114.46,0.01,-2870,-2870,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.068,,15.467,,37.529
15569,"MAHONEY,1993(443)",MS(428),MOA8712-090-006,-14.85,-112.7,0.01,-2650,-2650,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.263,,15.451,,37.685
15570,"MAHONEY,1993(443)",MS(428),MOA8712-093-001,-14.42,-112.6,0.01,-2650,-2650,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.146,,15.444,,37.577
15571,"MAHONEY,1993(443)",MS(428),MOA8712-093-006,-14.42,-112.6,0.01,-2650,-2650,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.057,,15.433,,37.481
15572,"MAHONEY,1993(443)",MS(428),MOA8712-096-001,-14.1,-112.51,0.01,-2630,-2630,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.141,,15.456,,37.589
15573,"MAHONEY,1993(443)",MS(428),MOA8712-098-002,-13.8,-112.45,0.01,-2650,-2650,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.173,,15.454,,37.669
15574,"MAHONEY,1993(443)",MS(428),MOA8712-019-005,-21.17,-114.22,0.01,-2820,-2820,SPREADING_CENTER,EAST PACIFIC RISE,GL,18.232,,15.48,,37.694
16113,"NIU,1996(99)",MS(442),MOA8712-059-003,-18.32,-113.45,0.01,-2885,-2885,SEAMOUNT,,ROCK,18.445,,15.484,,37.909
16115,"NIU,1996(99)",MS(442),MOA8712-059-004,-18.32,-113.45,0.01,-2885,-2885,SEAMOUNT,,ROCK,18.491,,15.497,,37.949
16117,"NIU,1996(99)",MS(442),MOA8712-059-005,-18.32,-113.45,0.01,-2885,-2885,SEAMOUNT,,ROCK,18.488,,15.498,,37.955
16119,"NIU,1996(99)",MS(442),MOA8712-059-008,-18.32,-113.45,0.01,-2885,-2885,SEAMOUNT,,ROCK,18.454,,15.496,,37.942
16121,"NIU,1996(99)",MS(442),MOA8712-063-001,-18.22,-113.57,0.01,-3060,-3060,SEAMOUNT,,ROCK,18.487,,15.486,,37.939
16123,"NIU,1996(99)",MS(442),MOA8712-063-002,-18.22,-113.57,0.01,-3060,-3060,SEAMOUNT,,ROCK,18.491,,15.494,,37.979
16125,"NIU,1996(99)",MS(442),MOA8712-052-004,-18.88,-113.62,0.01,-3130,-3130,SEAMOUNT,,ROCK,18.805,,15.528,,38.335
16127,"NIU,1996(99)",MS(442),MOA8712-052-005,-18.88,-113.62,0.01,-3130,-3130,SEAMOUNT,,ROCK,18.797,,15.524,,38.308
16129,"NIU,1996(99)",MS(442),MOA8712-054-001,-18.67,-113.81,0.01,-2790,-2790,SEAMOUNT,,ROCK,18.758,,15.53,,38.31
16131,"NIU,1996(99)",MS(442),MOA8712-054-002,-18.67,-113.81,0.01,-2790,-2790,SEAMOUNT,,ROCK,18.735,,15.524,,38.29
16133,"NIU,1996(99)",MS(442),MOA8712-054-003,-18.67,-113.81,0.01,-2790,-2790,SEAMOUNT,,ROCK,18.76,,15.529,,38.318
16135,"NIU,1996(99)",MS(442),MOA8712-055-003,-18.5,-113.87,0.01,-3030,-3030,SEAMOUNT,,ROCK,18.518,,15.499,,38.004
16137,"NIU,1996(99)",MS(442),MOA8712-055-008,-18.5,-113.87,0.01,-3030,-3030,SEAMOUNT,,ROCK,18.513,,15.491,,37.947
16139,"NIU,1996(99)",MS(442),MOA8712-056-002,-18.78,-113.8,0.01,-3095,-3095,SEAMOUNT,,ROCK,18.828,,15.527,,38.398
16141,"NIU,1996(99)",MS(442),MOA8712-056-004,-18.78,-113.8,0.01,-3095,-3095,SEAMOUNT,,ROCK,18.62,,15.521,,38.152
16143,"NIU,1996(99)",MS(442),MOA8712-051-004,-19,-113.47,0.01,-2750,-2750,SPREADING_CENTER,EAST PACIFIC RISE,ROCK,18.561,,15.508,,38.123
16145,"NIU,1996(99)",MS(442),MOA8712-051-005,-19,-113.47,0.01,-2750,-2750,SPREADING_CENTER,EAST PACIFIC RISE,ROCK,18.559,,15.507,,38.075
16147,"NIU,1996(99)",MS(442),MOA8712-057-004,-18.88,-113.45,0.01,-2750,-2750,SPREADING_CENTER,EAST PACIFIC RISE,ROCK,18.514,,15.49,,38.017
16149,"NIU,1996(99)",MS(442),MOA8712-061-001,-18.6,-113.42,0.01,-2700,-2700,SPREADING_CENTER,EAST PACIFIC RISE,ROCK,18.516,,15.498,,38.033
16151,"NIU,1996(99)",MS(442),MOA8712-BC11-001,-18.19,-113.33,0.01,-2650,-2650,SPREADING_CENTER,EAST PACIFIC RISE,ROCK,18.567,,15.515,,38.085
16153,"NIU,1996(99)",MS(442),MOA8712-065-003,-17.95,-113.26,0.01,-2665,-2665,SPREADING_CENTER,EAST PACIFIC RISE,ROCK,18.55,,15.507,,38.051
16447,"DESONIE,1990(122)",MS(452),THO0080-001-001,48.29,-133.09,0.01,,,SEAMOUNT,"EICKELBERG SMT, COBB-EICKELBERG SMTS",WR,18.663,,15.447,,37.895
16457,"DESONIE,1990(122)",MS(452),THO0080-002A,48.32,-133.1,0.01,,,SEAMOUNT,"EICKELBERG SMT, COBB-EICKELBERG SMTS",WR,18.624,,15.491,,37.985
16467,"DESONIE,1990(122)",MS(452),THO0080-002-008,48.53,-133.1,0.01,,,SEAMOUNT,"EICKELBERG SMT, COBB-EICKELBERG SMTS",WR,18.609,,15.521,,38.028
16477,"DESONIE,1990(122)",MS(452),THO0080-004-004,48.02,-132.46,0.01,,,SEAMOUNT,"WARWICK SMT, COBB-EICKELBERG SMTS",WR,18.62,,15.498,,37.985
16486,"DESONIE,1990(122)",MS(452),THO0080-005-014,48.01,-132.53,0.01,,,SEAMOUNT,"WARWICK SMT, COBB-EICKELBERG SMTS",WR,18.844,,15.521,,38.188
16496,"DESONIE,1990(122)",MS(452),THO0080-008-008,48.03,-132.45,0.01,,,SEAMOUNT,"WARWICK SMT, COBB-EICKELBERG SMTS",WR,18.646,,15.438,,37.832
16515,"DESONIE,1990(122)",MS(452),THO0080-010-007,48.28,-133.22,0.01,,,SEAMOUNT,COBB-EICKELBERG SMTS,WR,18.675,,15.494,,38.037
16525,"DESONIE,1990(122)",MS(452),BBRCOBB-PV37,46.7733,-130.8133,1.00E-04,-35,-40,SEAMOUNT,COBB SMT,WR,18.823,,15.494,,38.233
16550,"DESONIE,1990(122)",MS(452),THO0063-034,48.963,-131.033,0.01,-2370,-2770,SEAMOUNT,EXPLORER SMT,WR,18.807,,15.52,,38.291
16560,"DESONIE,1990(122)",MS(452),THO0063-036-A,49.55,-132.73,0.01,,,SEAMOUNT,UNION SMT,WR,19.464,,15.553,,38.619
17224,"HEGNER,1987(204)",MS(478),ALV1455-002R,44.68,-130.35,0.01,-2225,-2225,SPREADING_CENTER,JUAN DE FUCA RIDGE,GL,18.452,,15.477,,37.82
