sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Be,Co,Cr,Cs,Cu,Ga,Hf,K,Li,Nb,Ni,Pb,Rb,Sb,Sc,Sn,Sr,Ta,Th,Ti,U,V,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,latitude,longitude,elevation,tectonic_setting,station,expedition,sampling technique,rock type,alteration,reference,method
ALV0915-R001,glass,50.45,1.37,15.21,,,9.99,,0.16,8.3,11.75,2.19,0.07,0.14,,,,8.42,3.22,,,,,,,,,,9.2,,,,,,,,,,,124,,0.8,,,,92,,0.129,,0.04,325,41,,87,,,18.392,15.478,37.79,20.86,-109.08,-2595,SPREADING_CENTER;EAST PACIFIC RISE,ALV0915-R001,ALVIN 0915,submersible,"basalt, basalt, ",fresh,"Newman,1983(169); Rubin,1990(423); White,1987(162)",EMP(688); ICPMS-ID(3158); MS(675); MS-ID(691); XRF(689)
CYA1978-019-071,glass,49.85,1.26,15.19,,10.28,10.36,,0.17,8.64,12.26,2.63,0.06,0.15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.85,-109.08,-2585,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-019-071,CYANA1978 (CYAMEX),submersible,"basalt, basalt, ",fresh,"Juteau,1980(96)",EMP(633); XRF(632)
CYA1978-019-071,whole rock,49.64,1.27,15.21,,10.33,,,0.17,8.43,12.33,2.53,0.07,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.85,-109.08,-2585,SPREADING_CENTER;EAST PACIFIC RISE,CYA1978-019-071,CYANA1978 (CYAMEX),submersible,"basalt, basalt, ",fresh,"Juteau,1980(96)",XRF(632)
ALV0911-R003,glass,50.31,1.63,15.2,,,10.02,,0.1,7.78,11.4,2.99,0.11,0.17,,,,11,3.77,,,,,,,,,,,,,,,,,,,,,98,,1.6,,,,120,,0.28,,0.073,332,41,,107,0.702489,0.513164,18.432,15.484,37.841,20.85,-109.05,-2646,SPREADING_CENTER;EAST PACIFIC RISE,ALV0911-R003,ALVIN 0911,submersible,"basalt, basalt, moderately phyric; glassy matrix with >10% plag-pc",fresh,"Hekinian,1987(88); Macdougall,1986(388); Newman,1983(169); White,1987(162)",EMP(996); MS(675); MS(909); MS-ID(910); XRF(689)
ALV0916-R001-B,glass,49.93,1.22,16.36,,,8.86,,0.16,8.52,11.99,2.78,0.05,0.12,,,,8.04,2.78,,,,,,,,,,,,,,,,,,,,,150,,0.47,,,,138,,0.086,,0.024,249,30,,86,0.702471,0.513127,,,,20.838,-109.09,-2608,SPREADING_CENTER;EAST PACIFIC RISE,ALV0916-R001,ALVIN 0916,submersible,"basalt, basalt, ",fresh,"Macdougall,1986(388); Newman,1983(169)",EMP(688); MS(909); MS-ID(910); XRF(689)
ALV0916-R005,glass,50.35,1.57,15.24,,,9.9,,0.21,7.43,11.51,2.68,0.28,0.2,,,,12,3.68,,,,,,,,,,,,,,,,,,,,,84,,4.75,,,,168,,0.64,,0.176,303,40,,103,,,,,,20.838,-109.09,-2608,SPREADING_CENTER;EAST PACIFIC RISE,ALV0916-R005,ALVIN 0916,submersible,"basalt, basalt, ",fresh,"Newman,1983(169)",EMP(688); MS-ID(691); XRF(689)
ALV0981-R023,glass,48.93,1.22,16.24,,9.73,8.16,,0.16,8.88,12.02,2.77,0.045,0.105,,,,,,,,,,,,,,,8,,,270,,80.5,,,433,,,126,,,,37.3,,141,,,,,246,27.6,68.7,88.7,,,,,,20.833,-109.1,-2615,SPREADING_CENTER;EAST PACIFIC RISE,ALV0981-R023,ALVIN 0981,submersible,"basalt, basalt, ol and sporadic plag laths in glassy matrix; trace amounts of spinel",fresh,"Hekinian,1987(88); Sarda,1985(302)",DCP(997); EMP(996); NN(1814)
ALV0981-R023,whole rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.70247,,18.39,15.49,37.83,20.833,-109.1,-2615,SPREADING_CENTER;EAST PACIFIC RISE,ALV0981-R023,ALVIN 0981,submersible,"basalt, basalt, ol and sporadic plag laths in glassy matrix; trace amounts of spinel",fresh,"Dupre,1981(176)",MS(1372); MS(1373)
ALV0981-R026,glass,49.25,1.17,16.42,8.77,,8.2,,0.16,8.72,12,2,0.05,0.14,,,,,,,,,,,,,,,,,,,,,,,944,,,,,,,,,,,,,,,,,,,,,,,20.833,-109.1,-2615,SPREADING_CENTER;EAST PACIFIC RISE,ALV0981-R026,ALVIN 0981,submersible,"basalt, basalt, ol and sporadic plag laths in glassy matrix; trace amounts of spinel",fresh,"Hekinian,1987(88); Jambon,1990(425); Sarda,1985(302)",EMP(1464); EMP(996); NN(1814)
ALV0914-R002,glass,49.51,1.22,16.8,,,9.04,,0.16,8.56,11.81,2.57,0.05,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,149,,,,,,128,,0.095,,0.039,252,28,,80,,,,,,20.83,-109.1,-2590,SPREADING_CENTER;EAST PACIFIC RISE,ALV0914-R002,ALVIN 0914,submersible,"basalt, basalt, ",fresh,"Newman,1983(169)",EMP(688); XRF(689)
ALV0914-R009-A,glass,49.41,1.2,16.61,,,8.95,,0.18,8.61,11.87,2.58,0.05,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,148,,,,,,132,,0.082,,0.0299,240,33,,85,,,,,,20.83,-109.1,-2600,SPREADING_CENTER;EAST PACIFIC RISE,ALV0914-R009,ALVIN 0914,submersible,"basalt, basalt, ",fresh,"Newman,1983(169)",EMP(688); XRF(689)
ALV1645-D,whole rock,50.76,1.24,16.03,,,8.76,,0.22,8.13,11.77,2.87,0.06,0.095,,,,,,,,,,,,,,,8.1,,58,,,81,,,,,,,,,,,,139,,,,,367,,106,,,,,,,20.83,-109.1,-2555,SPREADING_CENTER;EAST PACIFIC RISE,ALV1645-D,ALVIN 1645,submersible,"basalt, basalt, medium-grained plag-pc in glassy gm",,"Martin,1991(573)",AAS(2543); ICPAE(2542)
ALV0923-R006,glass,50.34,1.21,15.64,,,9.53,,0.18,8.29,12.16,2.26,0.07,0.1,,,,7.24,2.67,,,,,,,,,,,,,,,,,,,,,133,,0.76,,,,99,,0.111,,0.039,286,33,,75,0.702469,0.513138,,,,20.82,-109.12,-2540,SPREADING_CENTER;EAST PACIFIC RISE,ALV0923-R006,ALVIN 0923,submersible,"basalt, basalt, ",fresh,"Macdougall,1986(388); Newman,1983(169)",EMP(688); MS(909); MS-ID(910); XRF(689)
