sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Co,Cr,Cs,Cu,Ga,Hf,K,Li,Nb,Ni,Pb,Rb,Sb,Sc,Sn,Sr,Ta,Th,Ti,U,V,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,Pd,Te,latitude,longitude,elevation,tectonic_setting,station,expedition,sampling technique,rock type,alteration,reference,method
HUD1966-056-004,whole rock,49.43,1.21,16.32,7.9,1.29,,,0.14,8.85,11.6,2.25,0.27,0.11,6.4,,,,2.9,0.9,,0.7,,,,,2.9,0.39,59,40,919,,110,,,1810,,8,168,2,4.9,,33,,108,,,,,370,23,76,66,,,,,,,,45.217,-28,-709,SPREADING_CENTER;MID-ATLANTIC RIDGE,HUD1966-056,HUD19-66,dredge,"basalt, basalt, aphyric, variolitic pillow basalt",fresh,"Aumento,1968(170); Erlank,1976(155); Schilling,1983(42)",ES(697); INAA(81); WET(80); XRF(1752); XRF(693); XRF(902)
HUD1966-056-002,glass,50.36,1.23,15.3,8.27,0.93,,,0.11,8.91,11.6,2.4,0.23,0.11,,,,,,,,,,,,,,,83,58,40,,87,24,,,,,170,1,,,65,,115,,,,,420,,88,130,,,,,,,,45.217,-28,-709,SPREADING_CENTER;MID-ATLANTIC RIDGE,HUD1966-056,HUD19-66,dredge,"basalt, basalt, aphyric, variolitic pillow basalt",fresh,"Aumento,1968(170)",AAS(694); ES(697); FPHOT(695); WET(692); XRF(693)
HUD1966-056-002,whole rock,,,,,,,,,,,,,,,,,,,,,,,,,,,,74,,,,,,,1638,,8.3,,,4.78,,,,104,,,,,,22,,65,0.70308,0.513087,,,,,,45.217,-28,-709,SPREADING_CENTER;MID-ATLANTIC RIDGE,HUD1966-056,HUD19-66,dredge,"basalt, basalt, aphyric, variolitic pillow basalt",fresh,"Erlank,1976(155); Hart,1971(371); White,1982(209)",MS(1841); MS(715); XRF(1752)
HUD1966-056,glass,52.2,0.98,14.75,,,9.47,,,9.13,11.31,2.04,0.18,,,,,9.15,2.79,,,,,,,,,,,,,,,,,,,,,0.332,4.58,,,,1,,,,0.195,,,,,0.70314,0.51309,19.28,15.54,38.83,,,45.217,-28,-709,SPREADING_CENTER;MID-ATLANTIC RIDGE,HUD1966-056,HUD19-66,dredge,"basalt, basalt, ",fresh,"Cohen,1980(173)",EMP(701); MS(698); MS(699); MS-ID(700)
CHN0043-107-006,whole rock,50.14,1.31,15.35,7.96,1.35,,,0.17,8.65,11.31,2.36,0.24,0.15,7.1,17,,10.6,3.2,1.2,,0.8,,,,0.68,2.6,0.4,81,,,0.066,,,,2062,,,147,,4.91,,,,124,,,,,289,,,,0.70322,,,,,,,45.19,-27.91,,SPREADING_CENTER;MID-ATLANTIC RIDGE,CHN0043-107,CHAIN043,dredge,"basalt, basalt, aphanitic",fresh,"Schilling,1983(42); White,1977(54); White,1978(41)",INAA(81); MS(600); MS-ID(98); MS-ID(99); WET(80); XRF(100); XRF(902)
CHN0043-104-016,whole rock,50.75,1.25,14.73,7.69,1.85,,,0.17,8.36,10.79,2.51,0.28,0.13,5.3,,,10.6,3.2,1.3,,0.9,,,,,4.1,0.44,41,50,399,0.108,,,,2546,,,155,,4.13,,40,,104,,,,,,,,,0.703421,0.513057,,,,,,45.18,-27.9,-2790,SPREADING_CENTER;MID-ATLANTIC RIDGE,CHN0043-104,CHAIN043,dredge,"basalt, basalt, aphanitic",fresh,"Schilling,1983(42); White,1978(41); Yu,1997(119)",INAA(117); INAA(81); MS(115); MS(116); MS-ID(98); MS-ID(99); WET(80); XRF(100); XRF(902)
CHN0043-104-018,whole rock,49.5,1.12,16.38,5.48,2.54,,,0.15,9.14,12.35,2.33,0.45,0.14,10,,,,3.7,1.3,,0.8,,,,,1.8,0.39,84,49,937,0.265,,,,4141,,,,,7.79,,41,,185,,,,,,,,,0.70335,,,,,,,45.18,-27.9,-2790,SPREADING_CENTER;MID-ATLANTIC RIDGE,CHN0043-104,CHAIN043,dredge,"basalt, basalt, ",fresh,"Schilling,1983(42); White,1977(54); White,1978(41)",INAA(81); MS(600); MS-ID(98); MS-ID(99); WET(80); XRF(100)
CHN0043-104-059,whole rock,49.59,1,15.15,7.26,1.3,,,0.16,9.9,12.16,2.09,0.19,0.12,4.7,,,,2.8,1,,0.5,,,,,2.3,0.31,,46,614,,,,,,,,,,,,39,,,,,,,,,,,0.70314,0.513096,,,,,,45.18,-27.9,-2790,SPREADING_CENTER;MID-ATLANTIC RIDGE,CHN0043-104,CHAIN043,dredge,"basalt, basalt, ",,"Schilling,1983(42); White,1982(209)",INAA(81); MS(715); WET(80)
TRI0154-014-001,glass,51.36,1.29,16.48,7,0.71,,,0.06,8.39,12.02,2.49,0.25,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44.82,-28.04,-2875,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0154-014,TR154,dredge,"basalt, basalt, aphanitic",fresh,"Sigurdsson,1981(115)",CALC(324); EMP(323)
TRI0154-014-001,whole rock,49.94,1.18,15.39,7.07,1.07,,,0.14,9.32,11.96,2.17,0.31,0.17,8,18.3,,12.2,3.1,1.2,,0.7,,,,0.58,2.6,0.4,76,44,493,0.075,,,,2866,,,192,,6.28,,38,,142,,,,,246,,,,0.703232,0.512984,,,,,,44.82,-28.04,-2875,SPREADING_CENTER;MID-ATLANTIC RIDGE,TRI0154-014,TR154,dredge,"basalt, basalt, aphanitic",fresh,"Schilling,1983(42); White,1978(41); Yu,1997(119)",INAA(117); INAA(81); MS(115); MS(116); MS-ID(98); MS-ID(99); WET(80); XRF(100); XRF(902)
