sample_id,material,SiO2,TiO2,Al2O3,FeO,Fe2O3,FeOT,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,P2O5,La,Ce,Pr,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Ba,Co,Cr,Cs,Ga,Hf,K,Nb,Ni,Pb,Rb,Sb,Sc,Sn,Sr,Ta,Th,U,V,Y,Zn,Zr,Sr87_Sr86,Nd143_Nd144,Pb206_Pb204,Pb207_Pb204,Pb208_Pb204,latitude,longitude,elevation,tectonic_setting,station,expedition,sampling technique,rock type,alteration,reference,method
TULCUR1-021-004,whole rock,48.86,1.73,16.81,9.29,,,,0.15,7.29,11.57,2.74,0.23,0.21,8.28,18.2,,13,4.03,1.62,,0.81,,,,,2.99,0.45,64,37.1,199,,,2.87,,13,71,,6,,35,,185,0.82,0.89,0.37,284,28,56,124,0.70248,0.51311,18.88,15.49,38.16,48.492,-129.038,-2940,SPREADING_CENTER;JUAN DE FUCA RIDGE,TULCUR1-021,CUROSS1,dredge,"basalt, basalt, ",fresh,"Cousens,1995(79)",EMP(407); INAA(411); MS(412); XRF(409)
TULCUR2-022-001,glass,50.15,1.14,15.73,9.1,,,,0.16,8.65,12.58,2.24,0.12,0.11,3.61,9.04,,7.37,2.37,0.91,,0.61,,,,,2.39,0.36,65,45.2,307,,,1.81,,5,74,,5,,42.1,,108,0.23,0.24,0.05,263,22,62,70,0.70245,0.51316,18.58,15.47,37.92,48.447,-129.043,-2890 to -2934,SPREADING_CENTER;JUAN DE FUCA RIDGE,TULCUR2-022,CUROSS2,dredge,"basalt, basalt, ",fresh,"Cousens,1995(79)",EMP(407); INAA(411); MS(412); XRF(409)
TULCUR2-023-002,glass,49.8,1.16,16.11,8.8,,,,0.17,8.97,12.61,2.3,0.14,0.1,6.31,12.1,,8.41,2.8,1.08,,0.55,,,,,2.59,0.44,65,48.52,300,,,2.01,,6,83,,5,,42.9,,121,0.42,0.36,0.13,247,20,56,72,0.70246,0.51316,18.46,15.5,37.88,48.385,-129.063,-2820 to -2830,SPREADING_CENTER;JUAN DE FUCA RIDGE,TULCUR2-023,CUROSS2,dredge,"basalt, basalt, ",fresh,"Cousens,1995(79)",EMP(407); INAA(411); MS(412); XRF(409)
TULCUR2-027-003,glass,48.89,2.17,16.27,9.91,,,,0.13,7.66,10.53,3.03,0.6,0.31,15.7,36.1,,21.7,5.35,1.8,,0.78,,,,,3.05,0.52,155,45.53,270,,,4.43,,22,132,,17,,37.9,,283,2.43,1.69,0.45,312,28,75,166,0.7026,0.51309,18.87,15.51,38.21,48.188,-129.123,-2690 to -2710,SPREADING_CENTER;JUAN DE FUCA RIDGE,TULCUR2-027,CUROSS2,dredge,"basalt, basalt, ",fresh,"Cousens,1995(79)",EMP(407); INAA(411); MS(412); XRF(409)
TULCUR2-027-005,glass,49.16,2.34,15.65,10.8,,,,0.21,6.82,10.6,2.94,0.51,0.31,11.7,27.1,,17.1,5.2,1.51,,0.85,,,,,3.61,0.59,104,42.17,262,,,3.63,,17,144,,9,,36.1,,231,0.93,1,0.37,348,32,85,161,0.70252,0.51313,18.73,15.54,38.13,48.188,-129.123,-2690 to -2710,SPREADING_CENTER;JUAN DE FUCA RIDGE,TULCUR2-027,CUROSS2,dredge,"basalt, basalt, ",fresh,"Cousens,1995(79)",EMP(407); INAA(411); MS(412); XRF(409)
ALV2039-002,glass,50.4,1.74,15.5,,,10.4,,0.19,7.52,11.3,2.49,0.43,0.27,8.7,20.5,,15.5,4.2,1.5,,0.89,,,,,3.4,,,,,,,,,,,,,,,,170,,,,,,,,0.70284,0.513155,18.511,15.509,38.078,41.883,-127.475,-3305,SPREADING_CENTER;GORDA RIDGE,ALV2039-002,ALVIN 2039,submersible,"basalt, basalt, sparsely plag-ol-porphyritic",fresh,"Davis,1998(871)",EMP(1690); ICPMS(1692); MS(1693); XRF-EDS(1695)
KAK83NP-2-001-008,glass,51,1.64,15,9.89,,9.89,,0.2,7.41,11.6,2.61,0.14,0.21,4.39,13.8,,13,4.07,1.33,,1.03,,,,,3.7,0.58,,41.2,309,,,3.61,,,122,,,,37.9,,123,0.27,0.23,,,35,84,128,0.70243,,,,,42.9498,-126.621,-3285,SPREADING_CENTER;GORDA RIDGE,KAK83NP-2-001,KK2-83-NP,dredge,"basalt, basalt, ",fresh,"Clague,1984(512); Clague,1989(749); Davis,1987(121)",EMP(2307); EMP(2685); INAA(445); MS(447); XRF(446)
KAK83NP-2-011-008,glass,50.6,1.66,15.3,9.98,,9.98,,0.19,7.77,11.3,2.65,0.11,0.17,3.66,12,,10.2,4.01,1.33,,1.04,,,,,3.7,0.56,,42.6,286,,,3.46,,,106,,,,40.3,,112,0.21,0.2,,,34,85,114,0.70247,,,,,42.12,-127.158,-3108,SPREADING_CENTER;GORDA RIDGE,KAK83NP-2-011,KK2-83-NP,dredge,"basalt, basalt, ",fresh,"Clague,1984(512); Clague,1989(749); Davis,1987(121)",EMP(2307); EMP(2685); INAA(445); MS(447); XRF(446)
KAK83NP-2-012-002,glass,51,1.68,14.5,10.3,,10.3,,0.2,7.94,11.1,2.74,0.1,0.15,3.65,12,,10.5,3.92,1.34,,1.01,,,,,3.7,0.57,,43.7,275,,,3.39,,,122,,,,39.6,,114,0.17,0.19,,,34,88,117,0.7025,,,,,42.035,-127.16,-3425,SPREADING_CENTER;GORDA RIDGE,KAK83NP-2-012,KK2-83-NP,dredge,"basalt, basalt, ",fresh,"Clague,1984(512); Clague,1989(749); Davis,1987(121)",EMP(2307); EMP(2685); INAA(445); MS(447); XRF(446)
KAK83NP-2-013-003,glass,50,1.28,15.8,,,9.27,,0.18,8.61,11.8,2.41,0.07,0.11,2.48,8.4,,7.5,2.88,1.08,,0.84,,,,,2.9,0.44,,44.5,378,,,2.48,,,146,,,,38.1,,99,0.17,0.19,,,23,77,80,0.70249,,,,,41.803,-127.168,-3275,SPREADING_CENTER;GORDA RIDGE,KAK83NP-2-013,KK2-83-NP,dredge,"basalt, basalt, ",,"Davis,1987(121)",EMP(444); INAA(445); MS(447); XRF(446)
KAK83NP-2-014-008,glass,50.1,1.42,15.7,9.66,,9.66,,0.18,8.24,11.6,2.45,0.1,0.15,2.95,9.9,,8,3.11,1.11,,0.88,,,,,3,0.48,,43.5,356,,,2.86,,,137,,,,37.6,,104,0.09,0.1,,,26,76,94,0.70251,,,,,41.695,-127.232,-3260,SPREADING_CENTER;GORDA RIDGE,KAK83NP-2-014,KK2-83-NP,dredge,"basalt, basalt, ",fresh,"Clague,1984(512); Clague,1989(749); Davis,1987(121)",EMP(2307); EMP(2685); INAA(445); MS(447); XRF(446)
KAK83NP-2-015-001,glass,50.9,1.69,15.1,10.3,,10.3,,0.21,7.48,11.1,2.72,0.11,0.18,3.5,12.3,,10.2,3.86,1.34,,1.04,,,,,3.7,0.57,,43,320,,,3.41,,,130,,,,40.1,,109,0.17,0.18,,,32,921,119,0.70246,,,,,41.617,-127.305,-3390 to -3405,SPREADING_CENTER;GORDA RIDGE,KAK83NP-2-015,KK2-83-NP,dredge,"basalt, basalt, ",fresh,"Clague,1984(512); Clague,1989(749); Davis,1987(121)",EMP(2307); EMP(2685); INAA(445); MS(447); XRF(446)
