ANALYSES_NUM,REF_ID,DQ_ID,SAMPLE_NUM,SAMPLE_ID,LATITUDE,LONGITUDE,LAT_LONG_PRECISION,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,PRIMARY_LOCATION,MATERIAL,U
2476,"NIU,1997(33)",ICPMS(44),1027,WASRAI2-030-030,9.168,-105.595,1.00E-03,-1700,-2000,SEAMOUNT,,GL,0.021
2477,"NIU,1997(33)",ICPMS(44),1028,WASRAI2-031-001,9.087,-105.02,1.00E-03,-2300,-2400,SEAMOUNT,,GL,0.045
2478,"NIU,1997(33)",ICPMS(44),1029,WASRAI2-032-001,9.075,-104.907,1.00E-03,-3025,-3138,SEAMOUNT,,GL,0.245
2479,"NIU,1997(33)",ICPMS(44),1030,WASRAI2-060-001,10,-104.908,1.00E-03,-2640,-2930,SEAMOUNT,,GL,0.037
2480,"NIU,1997(33)",ICPMS(44),1031,WASRAI2-061-002,9.998,-104.785,1.00E-03,-2364,-2493,SEAMOUNT,,GL,0.025
2481,"NIU,1997(33)",ICPMS(44),1032,WASRAI2-062-005,10.02,-104.193,1.00E-03,-2320,-2440,SEAMOUNT,,GL,0.063
2482,"NIU,1997(33)",ICPMS(44),1033,WASRAI2-062-007,10.02,-104.193,1.00E-03,-2320,-2440,SEAMOUNT,,GL,0.056
2483,"NIU,1997(33)",ICPMS(44),1034,WASRAI2-063-001,10.087,-103.46,1.00E-03,-2380,-2410,SEAMOUNT,,GL,0.033
2484,"NIU,1997(33)",ICPMS(44),1035,WASRAI2-065-001,10.12,-103.41,1.00E-03,-2074,-2150,SEAMOUNT,,GL,0.028
2485,"NIU,1997(33)",ICPMS(44),1036,WASRAI2-066-001,10.128,-103.333,1.00E-03,-2600,-2644,SEAMOUNT,,GL,0.027
2486,"NIU,1997(33)",ICPMS(44),1037,WASRAI2-068-005,10.19,-103.412,1.00E-03,-3177,-3220,SEAMOUNT,,GL,0.209
2487,"NIU,1997(33)",ICPMS(44),1038,WASRAI2-069-001,10.337,-103.638,1.00E-03,-2985,-3000,SEAMOUNT,,GL,0.146
2488,"NIU,1997(33)",ICPMS(44),1039,WASRAI2-070-001,10.297,-103.618,1.00E-03,-2964,-3010,SEAMOUNT,,GL,0.109
2489,"NIU,1997(33)",ICPMS(44),1041,WASRAI2-072-021,10.372,-103.927,1.00E-03,-2748,-2834,SEAMOUNT,,GL,0.174
2490,"NIU,1997(33)",ICPMS(44),1040,WASRAI2-072-002,10.372,-103.927,1.00E-03,-2748,-2834,SEAMOUNT,,GL,0.119
2491,"NIU,1997(33)",ICPMS(44),1042,WASRAI2-073-001,10.382,-103.923,1.00E-03,-2547,-2620,SEAMOUNT,,GL,0.134
2492,"NIU,1997(33)",ICPMS(44),1043,WASRAI2-074-006,10.61,-103.847,1.00E-03,-2320,-2500,SEAMOUNT,,GL,0.012
