ANALYSES_NUM,REF_ID,DQ_ID,SAMPLE_NUM,SAMPLE_ID,LATITUDE,LONGITUDE,LAT_LONG_PRECISION,ELEVATION_MIN,ELEVATION_MAX,TECTONIC_SETTING,PRIMARY_LOCATION,MATERIAL,Th
139,"EISSEN,1989(421)",INAA(209),1100,PIS1979-067-001,17.9792,40.055,1.00E-04,-1540,-1540,SPREADING_CENTER,RED SEA,WR,0.47
140,"EISSEN,1989(421)",INAA(209),1102,PIS1979-068-002,17.9582,40.0807,1.00E-04,-1520,-1520,SPREADING_CENTER,RED SEA,WR,0.57
141,"EISSEN,1989(421)",INAA(209),1103,PIS1979-068-003,17.9559,40.0837,1.00E-04,-1460,-1460,SPREADING_CENTER,RED SEA,WR,0.67
142,"EISSEN,1989(421)",INAA(209),1106,PIS1979-070-003,17.9327,40.0958,1.00E-04,-1670,-1670,SPREADING_CENTER,RED SEA,WR,0.27
143,"EISSEN,1989(421)",INAA(209),1107,PIS1979-070-004,17.9327,40.0958,1.00E-04,-1670,-1670,SPREADING_CENTER,RED SEA,WR,0.66
144,"EISSEN,1989(421)",INAA(209),1108,PIS1979-070-005,17.9327,40.0958,1.00E-04,-1670,-1670,SPREADING_CENTER,RED SEA,WR,0.26
145,"EISSEN,1989(421)",INAA(209),1109,PIS1979-071-001,17.9459,40.0867,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,0.48
146,"EISSEN,1989(421)",INAA(209),1110,PIS1979-071-002,17.9459,40.0867,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,0.54
147,"EISSEN,1989(421)",INAA(209),1111,PIS1979-071-003,17.9459,40.0867,1.00E-04,-1500,-1500,SPREADING_CENTER,RED SEA,WR,0.53
148,"EISSEN,1989(421)",INAA(209),1115,PIS1979-072-002,17.9334,40.0933,1.00E-04,-1630,-1630,SPREADING_CENTER,RED SEA,WR,0.27
149,"EISSEN,1989(421)",INAA(209),1117,PIS1979-072-004,17.9334,40.0933,1.00E-04,-1630,-1630,SPREADING_CENTER,RED SEA,WR,0.35
150,"EISSEN,1989(421)",INAA(209),1121,PIS1979-072-008,17.9334,40.0933,1.00E-04,-1630,-1630,SPREADING_CENTER,RED SEA,WR,0.28
2448,"NIU,1997(33)",ICPMS(44),997,WASRAI2-001-014,5.777,-102.183,1.00E-03,-1834,-1938,SEAMOUNT,,GL,0.046
2449,"NIU,1997(33)",ICPMS(44),998,WASRAI2-001-017,5.777,-102.183,1.00E-03,-1834,-1938,SEAMOUNT,,GL,0.064
2450,"NIU,1997(33)",ICPMS(44),999,WASRAI2-003-001,5.775,-102.212,1.00E-03,-1760,-1820,SEAMOUNT,,GL,0.032
2451,"NIU,1997(33)",ICPMS(44),1000,WASRAI2-003-003,5.775,-102.212,1.00E-03,-1760,-1820,SEAMOUNT,,GL,0.027
2452,"NIU,1997(33)",ICPMS(44),1001,WASRAI2-003-004,5.775,-102.212,1.00E-03,-1760,-1820,SEAMOUNT,,GL,0.03
2453,"NIU,1997(33)",ICPMS(44),1002,WASRAI2-004-007,5.6,-103.018,1.00E-03,-2263,-2320,SEAMOUNT,,GL,0.537
2454,"NIU,1997(33)",ICPMS(44),1003,WASRAI2-007-013,8.145,-103.178,1.00E-03,-2087,-2087,SEAMOUNT,,GL,0.046
2455,"NIU,1997(33)",ICPMS(44),1004,WASRAI2-008-008,8.353,-103.023,1.00E-03,-3100,-3900,SEAMOUNT,,GL,0.132
2456,"NIU,1997(33)",ICPMS(44),1006,WASRAI2-010-003,8.348,-104.105,1.00E-03,-2731,-2830,SEAMOUNT,,GL,0.301
2457,"NIU,1997(33)",ICPMS(44),1008,WASRAI2-013-001,8.402,-104.688,1.00E-03,-2150,-2180,SEAMOUNT,,GL,2.938
2458,"NIU,1997(33)",ICPMS(44),1009,WASRAI2-013-002,8.402,-104.688,1.00E-03,-2150,-2180,SEAMOUNT,,GL,0.192
2459,"NIU,1997(33)",ICPMS(44),1010,WASRAI2-015-001,8.768,-104.528,1.00E-03,-1682,-1732,SEAMOUNT,,GL,2.795
2460,"NIU,1997(33)",ICPMS(44),1011,WASRAI2-016-001,8.843,-104.56,1.00E-03,-3000,-3100,SEAMOUNT,,GL,0.214
2461,"NIU,1997(33)",ICPMS(44),1012,WASRAI2-016-002,8.843,-104.56,1.00E-03,-3000,-3100,SEAMOUNT,,GL,0.144
2462,"NIU,1997(33)",ICPMS(44),1013,WASRAI2-017-001,8.912,-104.565,1.00E-03,-2700,-2720,SEAMOUNT,,GL,1.492
2463,"NIU,1997(33)",ICPMS(44),1014,WASRAI2-018-003,8.935,-104.457,1.00E-03,-2720,-2780,SEAMOUNT,,GL,0.953
2464,"NIU,1997(33)",ICPMS(44),1015,WASRAI2-019-004,8.933,-104.405,1.00E-03,-2310,-2360,SEAMOUNT,,GL,0.078
2465,"NIU,1997(33)",ICPMS(44),1016,WASRAI2-020-002,8.995,-104.373,1.00E-03,-2837,-2985,SEAMOUNT,,GL,0.166
2466,"NIU,1997(33)",ICPMS(44),1017,WASRAI2-020-003,8.995,-104.373,1.00E-03,-2837,-2985,SEAMOUNT,,GL,0.319
2467,"NIU,1997(33)",ICPMS(44),1018,WASRAI2-021-006,8.897,-104.143,1.00E-03,-2657,-2711,SEAMOUNT,,GL,0.169
2468,"NIU,1997(33)",ICPMS(44),1019,WASRAI2-022-001,8.897,-104.102,1.00E-03,-2749,-2761,SEAMOUNT,,GL,0.108
2469,"NIU,1997(33)",ICPMS(44),1020,WASRAI2-023-002,9.035,-104.045,1.00E-03,-2920,-3025,SEAMOUNT,,GL,0.06
2470,"NIU,1997(33)",ICPMS(44),1021,WASRAI2-024-001,8.963,-103.208,1.00E-03,-3054,-3140,SEAMOUNT,,GL,0.07
2471,"NIU,1997(33)",ICPMS(44),1022,WASRAI2-024-005,8.963,-103.208,1.00E-03,-3054,-3140,SEAMOUNT,,GL,0.277
2472,"NIU,1997(33)",ICPMS(44),1023,WASRAI2-025-001,8.882,-103.788,1.00E-03,-1940,-2220,SEAMOUNT,,GL,0.089
2473,"NIU,1997(33)",ICPMS(44),1024,WASRAI2-028-003,8.812,-103.902,1.00E-03,-1984,-2076,SEAMOUNT,,GL,0.27
2474,"NIU,1997(33)",ICPMS(44),1025,WASRAI2-028-007,8.812,-103.902,1.00E-03,-1984,-2076,SEAMOUNT,,GL,0.056
2475,"NIU,1997(33)",ICPMS(44),1026,WASRAI2-029-006,8.687,-104.072,1.00E-03,-2726,-2800,SEAMOUNT,,GL,0.24
2476,"NIU,1997(33)",ICPMS(44),1027,WASRAI2-030-030,9.168,-105.595,1.00E-03,-1700,-2000,SEAMOUNT,,GL,0.042
2477,"NIU,1997(33)",ICPMS(44),1028,WASRAI2-031-001,9.087,-105.02,1.00E-03,-2300,-2400,SEAMOUNT,,GL,0.139
2478,"NIU,1997(33)",ICPMS(44),1029,WASRAI2-032-001,9.075,-104.907,1.00E-03,-3025,-3138,SEAMOUNT,,GL,0.763
2479,"NIU,1997(33)",ICPMS(44),1030,WASRAI2-060-001,10,-104.908,1.00E-03,-2640,-2930,SEAMOUNT,,GL,0.102
2480,"NIU,1997(33)",ICPMS(44),1031,WASRAI2-061-002,9.998,-104.785,1.00E-03,-2364,-2493,SEAMOUNT,,GL,0.055
2481,"NIU,1997(33)",ICPMS(44),1032,WASRAI2-062-005,10.02,-104.193,1.00E-03,-2320,-2440,SEAMOUNT,,GL,0.141
2482,"NIU,1997(33)",ICPMS(44),1033,WASRAI2-062-007,10.02,-104.193,1.00E-03,-2320,-2440,SEAMOUNT,,GL,0.152
2483,"NIU,1997(33)",ICPMS(44),1034,WASRAI2-063-001,10.087,-103.46,1.00E-03,-2380,-2410,SEAMOUNT,,GL,0.068
2484,"NIU,1997(33)",ICPMS(44),1035,WASRAI2-065-001,10.12,-103.41,1.00E-03,-2074,-2150,SEAMOUNT,,GL,0.072
2485,"NIU,1997(33)",ICPMS(44),1036,WASRAI2-066-001,10.128,-103.333,1.00E-03,-2600,-2644,SEAMOUNT,,GL,0.071
2486,"NIU,1997(33)",ICPMS(44),1037,WASRAI2-068-005,10.19,-103.412,1.00E-03,-3177,-3220,SEAMOUNT,,GL,0.488
2487,"NIU,1997(33)",ICPMS(44),1038,WASRAI2-069-001,10.337,-103.638,1.00E-03,-2985,-3000,SEAMOUNT,,GL,0.352
2488,"NIU,1997(33)",ICPMS(44),1039,WASRAI2-070-001,10.297,-103.618,1.00E-03,-2964,-3010,SEAMOUNT,,GL,0.266
2489,"NIU,1997(33)",ICPMS(44),1041,WASRAI2-072-021,10.372,-103.927,1.00E-03,-2748,-2834,SEAMOUNT,,GL,0.408
2490,"NIU,1997(33)",ICPMS(44),1040,WASRAI2-072-002,10.372,-103.927,1.00E-03,-2748,-2834,SEAMOUNT,,GL,0.339
2491,"NIU,1997(33)",ICPMS(44),1042,WASRAI2-073-001,10.382,-103.923,1.00E-03,-2547,-2620,SEAMOUNT,,GL,0.389
2492,"NIU,1997(33)",ICPMS(44),1043,WASRAI2-074-006,10.61,-103.847,1.00E-03,-2320,-2500,SEAMOUNT,,GL,0.02
2493,"NIU,1997(33)",ICPMS(44),1044,WASRAI2-075-002,10.698,-103.872,1.00E-03,-3115,-3115,SEAMOUNT,,GL,1.04
2494,"NIU,1997(33)",ICPMS(44),1045,WASRAI2-076-001,10.63,-103.24,1.00E-03,-2344,-2381,SEAMOUNT,,GL,0.105
2495,"NIU,1997(33)",ICPMS(44),1046,WASRAI2-078-006,11.217,-103.59,1.00E-03,-2420,-2780,SEAMOUNT,,GL,2.368
2496,"NIU,1997(33)",ICPMS(44),1047,WASRAI2-079-002,11.979,-103.243,1.00E-03,-1600,-1700,SEAMOUNT,,GL,2.241
2497,"NIU,1997(33)",ICPMS(44),1048,WASRAI2-080-001,11.805,-103.252,1.00E-03,-1589,-1619,SEAMOUNT,,GL,0.799
2498,"NIU,1997(33)",ICPMS(44),1049,WASRAI2-081-001,11.525,-103.562,1.00E-03,-2174,-2276,SEAMOUNT,,GL,0.097
2499,"NIU,1997(33)",ICPMS(44),1050,WASRAI2-082-001,11.505,-103.603,1.00E-03,-2632,-2660,SEAMOUNT,,GL,0.077
2500,"NIU,1997(33)",ICPMS(44),1051,WASRAI2-083-003,11.238,-103.593,1.00E-03,-2785,-2905,SEAMOUNT,,GL,1.897
2501,"NIU,1997(33)",ICPMS(44),1052,WASRAI2-084-003,11.48,-103.87,1.00E-03,-2244,-2325,SEAMOUNT,,GL,0.222
2502,"NIU,1997(33)",ICPMS(44),1053,WASRAI2-086-002,11.5,-103.977,1.00E-03,-2509,-2559,SEAMOUNT,,GL,0.294
2503,"NIU,1997(33)",ICPMS(44),1054,WASRAI2-089-SG,11.523,-103.88,1.00E-03,-2448,-2455,SEAMOUNT,,GL,0.238
2504,"NIU,1997(33)",ICPMS(44),1005,WASRAI2-009-001,8.392,-103.525,1.00E-03,-3090,-3140,SEAMOUNT,,GL,0.135
2505,"NIU,1997(33)",ICPMS(44),1055,WASRAI2-091-004,11.787,-103.852,1.00E-03,-2620,-2630,SEAMOUNT,,GL,0.189
2506,"NIU,1997(33)",ICPMS(44),1056,WASRAI2-092-006,11.937,-103.89,1.00E-03,-2844,-2867,SEAMOUNT,,GL,0.586
2507,"NIU,1997(33)",ICPMS(44),1057,WASRAI2-093-007,12.29,-103.645,1.00E-03,-2680,-2721,SEAMOUNT,,GL,0.356
2508,"NIU,1997(33)",ICPMS(44),1058,WASRAI2-094-002,12.34,-103.715,1.00E-03,-2694,-2725,SEAMOUNT,,GL,0.256
2509,"NIU,1997(33)",ICPMS(44),1059,WASRAI2-096-024,13.073,-103.453,1.00E-03,-2525,-2540,SEAMOUNT,,GL,0.207
2510,"NIU,1997(33)",ICPMS(44),1060,WASRAI2-100-001,13.13,-102.765,1.00E-03,-1816,-1828,SEAMOUNT,,GL,0.2
2511,"NIU,1997(33)",ICPMS(44),1061,WASRAI2-102-001,13.212,-103.675,1.00E-03,-2350,-2350,SEAMOUNT,,GL,0.136
2512,"NIU,1997(33)",ICPMS(44),1062,WASRAI2-103-003,13.835,-103.805,1.00E-03,-2870,-2940,SEAMOUNT,,GL,0.1
2513,"NIU,1997(33)",ICPMS(44),1063,WASRAI2-104-001,13.902,-103.76,1.00E-03,-1842,-1851,SEAMOUNT,,GL,0.169
2514,"NIU,1997(33)",ICPMS(44),1064,WASRAI2-105-005,14.125,-103.815,1.00E-03,-2679,-2685,SEAMOUNT,,GL,0.127
2515,"NIU,1997(33)",ICPMS(44),1065,WASRAI2-106-001,14.108,-103.853,1.00E-03,-2746,-2871,SEAMOUNT,,GL,0.208
2516,"NIU,1997(33)",ICPMS(44),1066,WASRAI2-107-008,14.175,-104.437,1.00E-03,-2200,-2280,SEAMOUNT,,GL,0.055
2517,"NIU,1997(33)",ICPMS(44),1067,WASRAI2-109-005,14.137,-104.303,1.00E-03,-2570,-2610,SEAMOUNT,,GL,1.044
2518,"NIU,1997(33)",ICPMS(44),1068,WASRAI2-110-004,14.148,-104.35,1.00E-03,-2760,-2840,SEAMOUNT,,GL,1.299
2519,"NIU,1997(33)",ICPMS(44),1069,WASRAI2-110-005,14.148,-104.35,1.00E-03,-2760,-2840,SEAMOUNT,,GL,0.952
2520,"NIU,1997(33)",ICPMS(44),1070,WASRAI2-111-003,14.162,-104.342,1.00E-03,-2640,-2740,SEAMOUNT,,GL,0.939
2521,"NIU,1997(33)",ICPMS(44),1071,WASRAI2-111-004,14.162,-104.342,1.00E-03,-2640,-2740,SEAMOUNT,,GL,0.979
2522,"NIU,1997(33)",ICPMS(44),1072,WASRAI2-112-002,14.15,-104.352,1.00E-03,-2800,-2800,SEAMOUNT,,GL,1.227
2523,"NIU,1997(33)",ICPMS(44),1073,WASRAI2-116-001,14.453,-104.028,1.00E-03,-2876,-3053,SEAMOUNT,,GL,0.092
2524,"NIU,1997(33)",ICPMS(44),1074,WASRAI2-118-002,14.675,-103.792,1.00E-03,-2580,-2600,SEAMOUNT,,GL,0.308
2525,"NIU,1997(33)",ICPMS(44),1007,WASRAI2-012-001,8.363,-105.638,1.00E-03,-2833,-3020,SEAMOUNT,,GL,0.207
2526,"NIU,1997(33)",ICPMS(44),1075,WASRAI2-121-003,14.572,-104.518,1.00E-03,-2879,-2995,SEAMOUNT,,GL,0.129
2527,"NIU,1997(33)",ICPMS(44),1076,WASRAI2-123-004,14.797,-104.507,0.001,-2580,-2600,SEAMOUNT,,GL,0.108
2845,"BOUGAULT,1988(49)",ENAA(124),56,ABP1985-040-001,12.403,-44.113,0.01,-4375,-4375,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.08
2846,"BOUGAULT,1988(49)",ENAA(124),57,ABP1985-040-002,12.403,-44.113,1.00E-02,-4375,-4375,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.11
2847,"BOUGAULT,1988(49)",ENAA(124),59,ABP1985-043-001,13.773,-44.988,1.00E-03,-3400,-3620,SPREADING_CENTER,MID-ATLANTIC RIDGE,WR,1.29
2848,"BOUGAULT,1988(49)",ENAA(124),60,ABP1985-043-001HV,13.773,-44.988,1.00E-03,-3400,-3620,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,1.4
2849,"BOUGAULT,1988(49)",ENAA(124),61,ABP1985-043-001LV,13.773,-44.988,1.00E-03,-3400,-3620,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,1.49
2850,"BOUGAULT,1988(49)",ENAA(124),63,ABP1985-043-003,13.773,-44.988,0.001,-3400,-3620,SPREADING_CENTER,MID-ATLANTIC RIDGE,WR,0.47
2851,"BOUGAULT,1988(49)",ENAA(124),66,ABP1985-044-001,14.332,-45.04,0.01,-3090,-3090,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,1.27
2852,"BOUGAULT,1988(49)",ENAA(124),68,ABP1985-044-003,14.332,-45.04,0.01,-3090,-3090,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,1.2
2853,"BOUGAULT,1988(49)",ENAA(124),69,ABP1985-045-001,14.5,-44.84,0.01,-3720,-3720,SPREADING_CENTER,MID-ATLANTIC RIDGE,WR,1.28
2854,"BOUGAULT,1988(49)",ENAA(124),70,ABP1985-045-002,14.5,-44.84,0.01,-3720,-3720,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,1.31
2855,"BOUGAULT,1988(49)",ENAA(124),71,ABP1985-046-002,14.71,-45.02,0.01,-3950,-3950,SPREADING_CENTER,MID-ATLANTIC RIDGE,WR,0.8
2856,"BOUGAULT,1988(49)",ENAA(124),72,ABP1985-046-003,14.71,-45.02,0.01,-3950,-3950,SPREADING_CENTER,MID-ATLANTIC RIDGE,WR,1.1
2857,"BOUGAULT,1988(49)",ENAA(124),74,ABP1985-047-001,15.88,-46.58,0.01,-3760,-3760,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.65
2858,"BOUGAULT,1988(49)",ENAA(124),76,ABP1985-048-001,16.34,-46.66,0.01,-3500,-3500,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.35
2859,"BOUGAULT,1988(49)",ENAA(124),78,ABP1985-048-002,16.34,-46.66,0.01,-3500,-3500,SPREADING_CENTER,MID-ATLANTIC RIDGE,WR,0.52
2860,"BOUGAULT,1988(49)",ENAA(124),79,ABP1985-048-003,16.34,-46.66,0.01,-3500,-3500,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,0.34
2861,"BOUGAULT,1988(49)",ENAA(124),432,CHR0077-006-119,14.12,-45,0.01,-2954,-2954,SPREADING_CENTER,MID-ATLANTIC RIDGE,WR,1.14
2862,"BOUGAULT,1988(49)",ENAA(124),433,CHR0077-006-124,14.12,-45,0.01,-2954,-2954,SPREADING_CENTER,MID-ATLANTIC RIDGE,WR,1.19
2863,"BOUGAULT,1988(49)",ENAA(124),434,CHR0077-006-125,14.12,-45,0.01,-2954,-2954,SPREADING_CENTER,MID-ATLANTIC RIDGE,WR,1.02
2864,"BOUGAULT,1988(49)",ENAA(124),435,CHR0077-006-126,14.12,-45,0.01,-2954,-2954,SPREADING_CENTER,MID-ATLANTIC RIDGE,WR,1.12
2865,"BOUGAULT,1988(49)",ENAA(124),436,CHR0077-006-157,14.12,-45,0.01,-2954,-2954,SPREADING_CENTER,MID-ATLANTIC RIDGE,GL,1.13
2866,"BOUGAULT,1988(49)",ENAA(124),440,CHR0077-006-201,14.12,-45,0.01,-2954,-2954,SPREADING_CENTER,MID-ATLANTIC RIDGE,WR,0.65
2867,"BOUGAULT,1988(49)",ENAA(124),441,CHR0077-006-203,14.12,-45,0.01,-2954,-2954,SPREADING_CENTER,MID-ATLANTIC RIDGE,WR,0.69
2868,"BOUGAULT,1988(49)",ENAA(124),442,CHR0077-006-205,14.12,-45,0.01,-2954,-2954,SPREADING_CENTER,MID-ATLANTIC RIDGE,WR,1.27
2869,"BOUGAULT,1988(49)",ENAA(124),443,CHR0078-008-013,10.62,-40.83,0.01,-4339,-4339,FRACTURE_ZONE,VEMA FRACTURE ZONE,WR,0.19
2870,"BOUGAULT,1988(49)",ENAA(124),444,CHR0078-008-020,10.62,-40.83,0.01,-4339,-4339,FRACTURE_ZONE,VEMA FRACTURE ZONE,WR,0.19
2871,"BOUGAULT,1988(49)",ENAA(124),445,CHR0078-008-023,10.62,-40.83,0.01,-4339,-4339,FRACTURE_ZONE,VEMA FRACTURE ZONE,WR,0.38
2872,"BOUGAULT,1988(49)",ENAA(124),446,CHR0078-008-026,10.62,-40.83,0.01,-4339,-4339,FRACTURE_ZONE,VEMA FRACTURE ZONE,WR,0.23
2873,"BOUGAULT,1988(49)",ENAA(124),447,CHR0078-008-027,10.62,-40.83,0.01,-4339,-4339,FRACTURE_ZONE,VEMA FRACTURE ZONE,WR,0.39
2874,"BOUGAULT,1988(49)",ENAA(124),448,CHR0078-008-046,10.62,-40.83,1.00E-02,-4339,-4339,FRACTURE_ZONE,VEMA FRACTURE ZONE,WR,0.21
2987,"DOSSO,1991(50)",NAA(134),756,PIL7003-031-A,11.517,-43.603,1.00E-03,-3000,-3175,FRACTURE_ZONE,MERCURIUS FRACTURE ZONE,ROCK,0.07
2988,"DOSSO,1991(50)",NAA(134),757,PIL7003-031-L,11.517,-43.603,1.00E-03,-3000,-3175,FRACTURE_ZONE,MERCURIUS FRACTURE ZONE,ROCK,0.06
2989,"DOSSO,1991(50)",NAA(134),8583,PIL7003-030,11.478,-43.63,1.00E-03,-3400,-3600,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,0.14
2990,"DOSSO,1991(50)",NAA(134),758,PIL7003-032-B,11.425,-43.575,1.00E-03,-2650,-2650,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,0.13
2991,"DOSSO,1991(50)",NAA(134),8584,PIL7003-032-D,11.425,-43.575,1.00E-03,-2650,-2650,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,0.1
2992,"DOSSO,1991(50)",NAA(134),753,PIL7003-029-A,11.283,-43.625,1.00E-03,-3900,-3900,FRACTURE_ZONE,MERCURIUS FRACTURE ZONE,ROCK,0.14
2993,"DOSSO,1991(50)",NAA(134),754,PIL7003-029-D,11.283,-43.625,1.00E-03,-3900,-3900,FRACTURE_ZONE,MERCURIUS FRACTURE ZONE,ROCK,0.1
2994,"DOSSO,1991(50)",NAA(134),8582,PIL7003-012,10.967,-43.7,1.00E-03,-4600,-4600,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,0.14
3804,"LANGMUIR,1977(46)",SSMS(158),191,ALV0523-001,36.827,-33.252,1.00E-03,-2726,-2726,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,0.7
3805,"LANGMUIR,1977(46)",SSMS(158),229,ALV0527-001-001,36.808,-33.26,1.00E-03,-2707,-2707,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,0.22
3806,"LANGMUIR,1977(46)",SSMS(158),253,ALV0529-004,36.818,-33.265,0.001,-2649,-2649,SPREADING_CENTER,MID-ATLANTIC RIDGE,ROCK,0.45
4774,"PERFIT,1983(107)",SSMS(236),1561,ALV1000-005B,0.78,-86.1,0.01,-2485,-2485,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,GL,0.17
4776,"PERFIT,1983(107)",SSMS(236),1555,ALV0994-005B,0.68,-85.47,0.01,-2675,-2675,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,GL,0.32
4778,"PERFIT,1983(107)",SSMS(236),1560,ALV0999-004B,0.73,-85.83,0.01,-2628,-2628,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,GL,0.3
4780,"PERFIT,1983(107)",SSMS(236),1557,ALV0996-001B,0.73,-85.37,0.01,-2570,-2570,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,GL,0.7
4782,"PERFIT,1983(107)",SSMS(236),1556,ALV0995-003B,0.7,-85.4,1.00E-02,-2731,-2731,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,GL,0.73
4784,"PERFIT,1983(107)",SSMS(236),1552,ALV0994-001D,0.68,-85.47,1.00E-03,-1450,-1500,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,GL,0.85
4786,"PERFIT,1983(107)",SSMS(236),1553,ALV0994-002E,0.68,-85.47,0.001,-2599,-2599,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,GL,0.81
4788,"PERFIT,1983(107)",SSMS(236),1554,ALV0994-003A,0.68,-85.47,0.01,-2587,-2587,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,GL,1.08
4790,"PERFIT,1983(107)",SSMS(236),1559,ALV0999-001B,0.73,-85.83,0.01,-2459,-2459,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,GL,1.63
4792,"PERFIT,1983(107)",SSMS(236),1562,ALV1001-001B,0.75,-85.83,1.00E-02,-2570,-2570,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,GL,1.76
4794,"PERFIT,1983(107)",SSMS(236),1551,ALV0994-001B,0.68,-85.47,0.001,-1450,-1500,SPREADING_CENTER,GALAPAGOS SPREADING CENTER,GL,1.61
5783,"MERTZ,1991(412)",MS-ID(279),1858,POLARK5-037-001,67.08,-18.75,0.01,-170,-170,SPREADING_CENTER,KOLBEINSEY RIDGE,GL,0.05
5786,"MERTZ,1991(412)",MS-ID(279),1869,POLARK5-025-002A,67.1,-18.7,0.01,-91,-91,SPREADING_CENTER,KOLBEINSEY RIDGE,GL,0.117
5788,"MERTZ,1991(412)",MS-ID(279),1862,POLARK5-022-002A,67.1,-18.72,1.00E-02,-110,-110,SPREADING_CENTER,KOLBEINSEY RIDGE,GL,0.121
5791,"MERTZ,1991(412)",MS-ID(279),1901,POS0158-002-002,67.925,-18.3623,1.00E-04,,,SPREADING_CENTER,KOLBEINSEY RIDGE,GL,0.1
5792,"MERTZ,1991(412)",MS-ID(279),1901,POS0158-002-002,67.925,-18.3623,0.0001,,,SPREADING_CENTER,KOLBEINSEY RIDGE,GL,0.094
5798,"MERTZ,1991(412)",MS-ID(279),1886,POS0158-457-001,68.08,-18.24,0.01,-600,-600,SPREADING_CENTER,KOLBEINSEY RIDGE,GL,0.113
5799,"MERTZ,1991(412)",MS-ID(279),1886,POS0158-457-001,68.08,-18.24,0.01,-600,-600,SPREADING_CENTER,KOLBEINSEY RIDGE,GL,0.119
